Week,Building,Floor,Space Type,Space Name,Capacity,Avg. Occupancy,Avg Utilization,Avg Hours Used (HH:MM)
"January 1, 2024",Calgary Building 1,2,Desks,E223A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E223B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E223F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E226B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E226C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E226D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E226E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E227C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E228B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E228E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E228F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E228G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E232A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E232B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E244B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E244C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E245C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E251A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E251B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E251D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E251F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E252A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E252H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E253B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E253E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E253F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E253G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E253H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E254A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E254B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E254C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E254D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E254G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E254H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E255D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E257A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E257B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E257C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E257D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E257E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E257F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E257G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E258A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E258B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E258C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E258D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E258E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E258F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E258G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E258H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E259A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E259C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E259D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E259E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E259F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E259G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E259H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E260B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E260C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E260D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E260G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E262C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E262D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E262E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E262F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E262G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E263A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E263B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E263C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E263D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E263E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E263F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E263G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E263H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E264A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,C350i,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,C350l,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,C350m,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E327B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E338B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E338C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E338D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E338G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E338H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E359A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E359B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E359E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E359G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E359H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E360A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E360D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E367A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E367B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E367D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E367E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E367F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E367G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E367H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E368D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E368E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,C350b,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,C350n,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,C350p,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E302G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E315A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E315B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E315C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E315E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E315F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E316A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E316B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E316C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E316D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E316E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E316F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E317A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E317B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E317C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E317E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E317F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E318A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E319A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E319B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E319C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E323A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E323B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E323C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E323E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E324A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E324B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E326A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E326B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E326D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E326E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E328A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E328B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E329A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E329B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E330A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E330B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E330C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E331A,1,0.00%,0.00%,0:00
